type,id,name,gender,person,description
way,36998721,"Rue Rasson - Rassonstraat",M,"Jean-Baptiste Rasson","Officier des carabiniers, conseiller communal (1812-1898)"
way,15087902,"Rue Steens - Steensstraat",M,"Les frères Steens",Propriétaires
way,151163014,"Rue Timmermans - Timmermansstraat",M,,"Actionnaire de la Société anonyme des Villas de Forest qui urbanisa ce quartier"
way,13752032,"Rue Vandenbranden - Vandenbrandenstraat",M,,
way,13752049,"Rue Vandenbranden - Vandenbrandenstraat",M,,
way,112022782,"Rue Vander Elst - Vander Elststraat",M,,"Propriétaire vers 1810 d'une usine d'acide nitrique"
way,112022783,"Rue Vander Elst - Vander Elststraat",M,,"Propriétaire vers 1810 d'une usine d'acide nitrique"
way,13855133,"Rue Vandermeulen - Vandermeulenstraat",M,,"Artiste-peintre, administrateur de la fabrique d'église de la paroisse Sainte-Gudule"
way,23541816,"Rue Victor Gambier - Victor Gambierstraat",M,"Victor Gambier","Propriétaire foncier, conseiller communal et échevin, qui habita cette rue (1832-1911)"
way,44821634,"Rue Victor Gambier - Victor Gambierstraat",M,"Victor Gambier","Propriétaire foncier, conseiller communal et échevin, qui habita cette rue (1832-1911)"
way,236527758,"Rue Victor Gambier - Victor Gambierstraat",M,"Victor Gambier","Propriétaire foncier, conseiller communal et échevin, qui habita cette rue (1832-1911)"
way,243568608,"Rue Victor Gambier - Victor Gambierstraat",M,"Victor Gambier","Propriétaire foncier, conseiller communal et échevin, qui habita cette rue (1832-1911)"
way,30362070,"Rue Vlogaert - Vlogaertstraat",M,,"Ancien propriétaire"
way,23104735,"Square Van Bever - Van Beversquare",M,"Jean Victor Van Bever","Notaire à Uccle Fort Jaco entre 1802 et 1822, propriétaire terrien et immobilier"
way,23104737,"Square Van Bever - Van Beversquare",M,"Jean Victor Van Bever","Notaire à Uccle Fort Jaco entre 1802 et 1822, propriétaire terrien et immobilier"
way,923453402,"Square Van Bever - Van Beversquare",M,"Jean Victor Van Bever","Notaire à Uccle Fort Jaco entre 1802 et 1822, propriétaire terrien et immobilier"
